openreview_id,forum_id,submission_number,venue,accepted_type,title,authors,authorids,primary_area,keywords,tldr,abstract,openreview_forum_url,official_pdf_download_url,content_pdf_url,supplementary_material_url,supplementary_material_type,has_supplementary_material,github_urls,repository_urls,dataset_urls,arxiv_ids,arxiv_abs_urls,arxiv_pdf_urls,arxiv_source_urls,all_extracted_urls,paperhash,bibtex,license,cdate,pdate,mdate,fetched_at_utc
uWj4s7rMnR,uWj4s7rMnR,754,NeurIPS 2025 oral,NeurIPS 2025 oral,Mean Flows for One-step Generative Modeling,Zhengyang Geng; Mingyang Deng; Xingjian Bai; J Zico Kolter; Kaiming He,~Zhengyang_Geng1; ~Mingyang_Deng1; ~Xingjian_Bai1; ~J_Zico_Kolter1; ~Kaiming_He2,deep_learning,Generative Models,,"We propose a principled and effective framework for one-step generative modeling. We introduce the notion of average velocity to characterize flow fields, in contrast to instantaneous velocity modeled by Flow Matching methods. A well-defined identity between average and instantaneous velocities is derived and used to guide neural network training. Our method, termed the \textit{MeanFlow} model, is self-contained and requires no pre-training, distillation, or curriculum learning. MeanFlow demonstrates strong empirical performance: it achieves an FID of 3.43 with a single function evaluation (1-NFE) on ImageNet 256$\times$256 trained from scratch, significantly outperforming previous state-of-the-art one-step diffusion/flow models. Our study substantially narrows the gap between one-step diffusion/flow models and their multi-step predecessors, and we hope it will motivate future research to revisit the foundations of these powerful models.",https://openreview.net/forum?id=uWj4s7rMnR,https://openreview.net/pdf?id=uWj4s7rMnR,https://openreview.net/pdf/4722ddabe96351b7f9dcddce46c8949135cacdf2.pdf,,,no,,,,,,,,https://openreview.net/forum?id=uWj4s7rMnR,geng|mean_flows_for_onestep_generative_modeling,"@inproceedings{
geng2026mean,
title={Mean Flows for One-step Generative Modeling},
author={Zhengyang Geng and Mingyang Deng and Xingjian Bai and J Zico Kolter and Kaiming He},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=uWj4s7rMnR}
}",CC BY 4.0,1743923976985,1758216507453,1776754448754,2026-06-15T20:41:24.310698+00:00
Gq4Gay8rDB,Gq4Gay8rDB,1028,NeurIPS 2025 oral,NeurIPS 2025 oral,PlayerOne: Egocentric World Simulator,Yuanpeng Tu; Hao Luo; Xi Chen; Xiang Bai; Fan Wang; Hengshuang Zhao,~Yuanpeng_Tu1; ~Hao_Luo1; ~Xi_Chen30; ~Xiang_Bai1; ~Fan_Wang6; ~Hengshuang_Zhao2,deep_learning,Video generation; World model; Egocentric understanding,,"We introduce PlayerOne, the first egocentric realistic world simulator, facilitating immersive and unrestricted exploration within vividly dynamic environments. Given an egocentric scene image from the user, PlayerOne can accurately construct the corresponding world and generate egocentric videos that are strictly aligned with the real-scene human motion of the user captured by an exocentric camera. PlayerOne is trained in a coarse-to-fine pipeline that first performs pretraining on large-scale egocentric text-video pairs for coarse-level egocentric understanding, followed by finetuning on synchronous motion-video data extracted from egocentric-exocentric video datasets with our automatic construction pipeline. Besides, considering the varying importance of different components, we design a part-disentangled motion injection scheme, enabling precise control of part-level movements. In addition, we devise a joint reconstruction framework that progressively models both the 4D scene and video frames, ensuring scene consistency in the long-form video generation. Experimental results demonstrate its great generalization ability in precise control of varying human movements and world-consistent modeling of diverse scenarios. It marks the first endeavor into egocentric real-world simulation and can pave the way for the community to delve into fresh frontiers of world modeling and its diverse applications.",https://openreview.net/forum?id=Gq4Gay8rDB,https://openreview.net/pdf?id=Gq4Gay8rDB,https://openreview.net/pdf/8576828492200a77b6a51d1791f2e5e21da22d2c.pdf,https://openreview.net/attachment/9ddd8f372e05027fdff599071b1fc3c4d3b3036d.zip,zip,yes,,,,,,,,https://openreview.net/forum?id=Gq4Gay8rDB,tu|playerone_egocentric_world_simulator,"@inproceedings{
tu2026playerone,
title={PlayerOne: Egocentric World Simulator},
author={Yuanpeng Tu and Hao Luo and Xi Chen and Xiang Bai and Fan Wang and Hengshuang Zhao},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=Gq4Gay8rDB}
}",CC BY 4.0,1744007968741,1758216513232,1776754451101,2026-06-15T20:41:24.310698+00:00
INqBOmwIpG,INqBOmwIpG,1748,NeurIPS 2025 oral,NeurIPS 2025 oral,Perception Encoder: The best visual embeddings are not at the output of the network,Daniel Bolya; Po-Yao Huang; Peize Sun; Jang Hyun Cho; Andrea Madotto; Chen Wei; Tengyu Ma; Jiale Zhi; Jathushan Rajasegaran; Hanoona Abdul Rasheed; Junke Wang; Marco Monteiro; Hu Xu; Shiyu Dong; Nikhila Ravi; Shang-Wen Li; Piotr Dollar; Christoph Feichtenhofer,~Daniel_Bolya1; ~Po-Yao_Huang2; ~Peize_Sun1; ~Jang_Hyun_Cho1; ~Andrea_Madotto1; ~Chen_Wei2; ~Tengyu_Ma3; ~Jiale_Zhi1; ~Jathushan_Rajasegaran2; ~Hanoona_Abdul_Rasheed1; ~Junke_Wang1; ~Marco_Monteiro2; ~Hu_Xu1; ~Shiyu_Dong1; ~Nikhila_Ravi1; ~Shang-Wen_Li1; ~Piotr_Dollar1; ~Christoph_Feichtenhofer4,deep_learning,vision encoder; vision-language; CLIP; pretraining; features; foundation model,"We develop a CLIP model that is SotA on both image and video zero-shot recognition. Using its strong, general features we further create SotA encoders for language and spatial tasks.","We introduce Perception Encoder (PE), a family of state-of-the-art vision encoders for image and video understanding. Traditionally, vision encoders have relied on a variety of pretraining objectives, each excelling at different downstream tasks. Surprisingly, after scaling a carefully tuned image pretraining recipe and refining with a robust video data engine, we find that contrastive vision-language training alone can produce strong, general embeddings for all of these downstream tasks. There is only one caveat: these embeddings are hidden within the intermediate layers of the network. To draw them out, we introduce two alignment methods: language alignment for multimodal language modeling, and spatial alignment for dense prediction. Together, our PE family of models achieves state-of-the-art results on a wide variety of tasks, including zero-shot image and video classification and retrieval; document, image, and video Q&A; and spatial tasks such as detection, tracking, and depth estimation. We release our models, code, and novel dataset of synthetically and human-annotated videos: https://github.com/facebookresearch/perception_models",https://openreview.net/forum?id=INqBOmwIpG,https://openreview.net/pdf?id=INqBOmwIpG,https://openreview.net/pdf/13c5dcc0a71a6363ecf0568e449798970fe54388.pdf,,,no,https://github.com/facebookresearch/perception_models,https://github.com/facebookresearch/perception_models,,,,,,https://github.com/facebookresearch/perception_models; https://openreview.net/forum?id=INqBOmwIpG,bolya|perception_encoder_the_best_visual_embeddings_are_not_at_the_output_of_the_network,"@inproceedings{
bolya2026perception,
title={Perception Encoder: The best visual embeddings are not at the output of the network},
author={Daniel Bolya and Po-Yao Huang and Peize Sun and Jang Hyun Cho and Andrea Madotto and Chen Wei and Tengyu Ma and Jiale Zhi and Jathushan Rajasegaran and Hanoona Abdul Rasheed and Junke Wang and Marco Monteiro and Hu Xu and Shiyu Dong and Nikhila Ravi and Shang-Wen Li and Piotr Dollar and Christoph Feichtenhofer},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=INqBOmwIpG}
}",CC BY 4.0,1744299691630,1758216530787,1776754460993,2026-06-15T20:41:24.310698+00:00
gL4muAFwsh,gL4muAFwsh,1760,NeurIPS 2025 oral,NeurIPS 2025 oral,Does Stochastic Gradient really succeed for bandits?,Dorian Baudry; Emmeran Johnson; Simon Vary; Ciara Pike-Burke; Patrick Rebeschini,~Dorian_Baudry1; ~Emmeran_Johnson1; ~Simon_Vary1; ~Ciara_Pike-Burke2; ~Patrick_Rebeschini1,theory,bandits; policy gradient,"We propose a novel regret analysis of a simple policy gradient algorithm for bandits, characterizing regret regimes depending on its learning rate.","Recent works of Mei et al. (2023, 2024) have deepened the theoretical understanding of the *Stochastic Gradient Bandit* (SGB) policy, showing that using a constant learning rate guarantees asymptotic convergence to the optimal policy, and that sufficiently *small* learning rates can yield logarithmic regret. However, whether logarithmic regret holds beyond small learning rates remains unclear. In this work, we take a step towards characterizing the regret *regimes* of SGB as a function of its learning rate. For two--armed bandits, we identify a sharp threshold, scaling with the sub-optimality gap $\Delta$, below which SGB achieves *logarithmic* regret on all instances, and above which it can incur *polynomial* regret on some instances. 
This result highlights the necessity of knowing (or estimating) $\Delta$ to ensure logarithmic regret with a constant learning rate.
For general $K$-armed bandits, we further show the learning rate must scale inversely with $K$ to avoid polynomial regret. We introduce novel techniques to derive regret upper bounds for SGB, laying the groundwork for future advances in the theory of gradient-based bandit algorithms.",https://openreview.net/forum?id=gL4muAFwsh,https://openreview.net/pdf?id=gL4muAFwsh,https://openreview.net/pdf/43a5e18b05c8b90bd88743b37cf38a4283e95b10.pdf,https://openreview.net/attachment/bed17715fd5b7da5543fab9cd4f33c1c457ab935.zip,zip,yes,,,,,,,,https://openreview.net/forum?id=gL4muAFwsh,baudry|does_stochastic_gradient_really_succeed_for_bandits,"@inproceedings{
baudry2026does,
title={Does Stochastic Gradient really succeed for bandits?},
author={Dorian Baudry and Emmeran Johnson and Simon Vary and Ciara Pike-Burke and Patrick Rebeschini},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=gL4muAFwsh}
}",CC BY 4.0,1744310431721,1758216531473,1776754461126,2026-06-15T20:41:24.310698+00:00
JcEqp4aPmb,JcEqp4aPmb,2539,NeurIPS 2025 oral,NeurIPS 2025 oral,InfinityStar: Uniﬁed Spacetime AutoRegressive Modeling for Visual Generation,Jinlai Liu; Jian Han; Bin Yan; Wuhui; Fengda Zhu; Xing Wang; Yi Jiang; BINGYUE PENG; Zehuan Yuan,~Jinlai_Liu3; ~Jian_Han3; ~Bin_Yan1; ~Wuhui1; ~Fengda_Zhu1; ~Xing_Wang14; ~Yi_Jiang2; ~BINGYUE_PENG1; ~Zehuan_Yuan1,deep_learning,Visual Synthesis; Visual AutoRegressive Modeling; Text to Video Generation; Generative models,InfinityStar is the first discrete autoregressive video generator capable of producing industrial-level 720p videos.,"We introduce InfinityStar, a unified spacetime autoregressive framework for high-resolution image and dynamic video synthesis. Building on the recent success of autoregressive modeling in both vision and language, our purely discrete approach jointly captures spatial and temporal dependencies within a single architecture. This unified design naturally supports a variety of generation tasks such as text-to-image, text-to-video, image-to-video, and long-duration video synthesis via straightforward temporal autoregression. Through extensive experiments, InfinityStar scores 83.74 on VBench, outperforming all autoregressive models by large margins, even surpassing diffusion competitors like HunyuanVideo. Without extra optimizations, our model generates a 5s, 720p video approximately 10$\times$ faster than leading diffusion-based methods. To our knowledge, InfinityStar is the first discrete autoregressive video generator capable of producing industrial-level 720p videos. We release all code and models to foster further research in efficient, high-quality video generation.",https://openreview.net/forum?id=JcEqp4aPmb,https://openreview.net/pdf?id=JcEqp4aPmb,https://openreview.net/pdf/eac57f137477a005602464c82bf046dfcf894cdd.pdf,https://openreview.net/attachment/c48112a109a82c5de6e930907d617d60a80815f8.zip,zip,yes,,,,,,,,https://openreview.net/forum?id=JcEqp4aPmb,liu|infinitystar_unied_spacetime_autoregressive_modeling_for_visual_generation,"@inproceedings{
liu2026infinitystar,
title={InfinityStar: Unified Spacetime AutoRegressive Modeling for Visual Generation},
author={Jinlai Liu and Jian Han and Bin Yan and Wuhui and Fengda Zhu and Xing Wang and Yi Jiang and BINGYUE PENG and Zehuan Yuan},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=JcEqp4aPmb}
}",CC BY 4.0,1744710874935,1758216551084,1776754468571,2026-06-15T20:41:24.310698+00:00
zIzZxDsNNP,zIzZxDsNNP,2625,NeurIPS 2025 oral,NeurIPS 2025 oral,PhySense: Sensor Placement Optimization for Accurate Physics Sensing,Yuezhou Ma; Haixu Wu; Hang Zhou; Huikun Weng; Jianmin Wang; Mingsheng Long,~Yuezhou_Ma1; ~Haixu_Wu1; ~Hang_Zhou20; ~Huikun_Weng1; ~Jianmin_Wang1; ~Mingsheng_Long5,deep_learning,Physics sensing; sensor placement; flow models,"We propose a synergistic two-stage framework that learns to jointly reconstruct physical fields and to optimize sensor placements with theoretical guarantees, both aiming for accurate physics sensing.","Physics sensing plays a central role in many scientific and engineering domains, which inherently involves two coupled tasks: reconstructing dense physical fields from sparse observations and optimizing scattered sensor placements to observe maximum information. While deep learning has made rapid advances in sparse-data reconstruction, existing methods generally omit optimization of sensor placements, leaving the mutual enhancement between reconstruction and placement on the shelf. To change this suboptimal practice, we propose PhySense, a synergistic two-stage framework that learns to jointly reconstruct physical fields and to optimize sensor placements, both aiming for accurate physics sensing. The first stage involves a flow-based generative model enhanced by cross-attention to adaptively fuse sparse observations. Leveraging the reconstruction feedback, the second stage performs sensor placement via projected gradient descent to satisfy spatial constraints. We further prove that the learning objectives of the two stages are consistent with classical variance-minimization principles, providing theoretical guarantees. Extensive experiments across three challenging benchmarks, especially a 3D geometry dataset, indicate PhySense achieves state-of-the-art physics sensing accuracy and discovers informative sensor placements previously unconsidered. Code is available at this repository: https://github.com/thuml/PhySense.",https://openreview.net/forum?id=zIzZxDsNNP,https://openreview.net/pdf?id=zIzZxDsNNP,https://openreview.net/pdf/3533766d026f4ff72dccae454a3cdf12a3fb6cfc.pdf,,,no,https://github.com/thuml/PhySense,https://github.com/thuml/PhySense,,,,,,https://github.com/thuml/PhySense; https://openreview.net/forum?id=zIzZxDsNNP,ma|physense_sensor_placement_optimization_for_accurate_physics_sensing,"@inproceedings{
ma2026physense,
title={PhySense: Sensor Placement Optimization for Accurate Physics Sensing},
author={Yuezhou Ma and Haixu Wu and Hang Zhou and Huikun Weng and Jianmin Wang and Mingsheng Long},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=zIzZxDsNNP}
}",CC BY 4.0,1744730894329,1758216552955,1776754469369,2026-06-15T20:41:24.310698+00:00
XQ87Vo9GIz,XQ87Vo9GIz,3501,NeurIPS 2025 oral,NeurIPS 2025 oral,TransferTraj: A Vehicle Trajectory Learning Model for Region and Task Transferability,Tonglong Wei; Yan Lin; Zeyu Zhou; Haomin Wen; Jilin Hu; Shengnan Guo; Youfang Lin; Gao Cong; Huaiyu Wan,~Tonglong_Wei1; ~Yan_Lin1; ~Zeyu_Zhou3; ~Haomin_Wen2; ~Jilin_Hu1; ~Shengnan_Guo1; ~Youfang_Lin1; ~Gao_Cong1; ~Huaiyu_Wan1,machine_learning_for_sciences,Spatio-temporal data mining; trajectory data mining; vehicle trajectory learning,Propose a vehicle trajectory learning model capable of transferring across regions and tasks without retraining.,"Vehicle GPS trajectories provide valuable movement information that supports various downstream tasks and applications. A desirable trajectory learning model should be able to transfer across regions and tasks without retraining, avoiding the need to maintain multiple specialized models and subpar performance with limited training data. However, each region has its unique spatial features and contexts, which are reflected in vehicle movement patterns and are difficult to generalize. Additionally, transferring across different tasks faces technical challenges due to the varying input-output structures required for each task. Existing efforts towards transferability primarily involve learning embedding vectors for trajectories, which perform poorly in region transfer and require retraining of prediction modules for task transfer.

To address these challenges, we propose $\textit{TransferTraj}$, a vehicle GPS trajectory learning model that excels in both region and task transferability. For region transferability, we introduce RTTE as the main learnable module within TransferTraj. It integrates spatial, temporal, POI, and road network modalities of trajectories to effectively manage variations in spatial context distribution across regions. It also introduces a TRIE module for incorporating relative information of spatial features and a spatial context MoE module for handling movement patterns in diverse contexts. For task transferability, we propose a task-transferable input-output scheme that unifies the input-output structure of different tasks into the masking and recovery of modalities and trajectory points. This approach allows TransferTraj to be pre-trained once and transferred to different tasks without retraining. We conduct extensive experiments on three real-world vehicle trajectory datasets under various transfer settings, including task transfer, zero-shot region transfer, and few-shot region transfer. Experimental results demonstrate that TransferTraj significantly outperforms state-of-the-art baselines in different scenarios, validating its effectiveness in region and task transfer. Code is available at https://github.com/wtl52656/TransferTraj.",https://openreview.net/forum?id=XQ87Vo9GIz,https://openreview.net/pdf?id=XQ87Vo9GIz,https://openreview.net/pdf/8254778dc6675328f27a63a16d8e850ca90a5f6c.pdf,https://openreview.net/attachment/f8cc87c5acdf622102bc40a4928bb16ed9ca20ac.zip,zip,yes,https://github.com/wtl52656/TransferTraj,https://github.com/wtl52656/TransferTraj,,,,,,https://github.com/wtl52656/TransferTraj; https://openreview.net/forum?id=XQ87Vo9GIz,wei|transfertraj_a_vehicle_trajectory_learning_model_for_region_and_task_transferability,"@inproceedings{
wei2026transfertraj,
title={TransferTraj: A Vehicle Trajectory Learning Model for Region and Task Transferability},
author={Tonglong Wei and Yan Lin and Zeyu Zhou and Haomin Wen and Jilin Hu and Shengnan Guo and Youfang Lin and Gao Cong and Huaiyu Wan},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=XQ87Vo9GIz}
}",CC BY 4.0,1745287260309,1758216577117,1776754476564,2026-06-15T20:41:24.310698+00:00
Q6IyUpBmrG,Q6IyUpBmrG,3558,NeurIPS 2025 oral,NeurIPS 2025 oral,Rethinking Multimodal Learning from the Perspective of Mitigating Classification Ability Disproportion,Qing-Yuan Jiang; Longfei Huang; Yang Yang,~Qing-Yuan_Jiang3; ~Longfei_Huang1; ~Yang_Yang17,deep_learning,Multimodal Leanring; Modality Imbalance.,,"Multimodal learning (MML) is significantly constrained by modality imbalance, leading to suboptimal performance in practice. While existing approaches primarily focus on balancing the learning of different modalities to address this issue, they fundamentally overlook the inherent disproportion in model classification ability, which serves as the primary cause of this phenomenon. In this paper, we propose a novel multimodal learning approach to dynamically balance the classification ability of weak and strong modalities by incorporating the principle of boosting. Concretely, we first propose a sustained boosting algorithm in multimodal learning by simultaneously optimizing the classification and residual errors. Subsequently, we introduce an adaptive classifier assignment strategy to dynamically facilitate the classification performance of the weak modality. Furthermore, we theoretically analyze the convergence property of the cross-modal gap function, ensuring the effectiveness of the proposed boosting scheme. To this end, the classification ability of strong and weak modalities is expected to be balanced, thereby mitigating the imbalance issue. Empirical experiments on widely used datasets reveal the superiority of our method through comparison with various state-of-the-art (SOTA) multimodal learning baselines. The source code is available at https://github.com/njustkmg/NeurIPS25-AUG.",https://openreview.net/forum?id=Q6IyUpBmrG,https://openreview.net/pdf?id=Q6IyUpBmrG,https://openreview.net/pdf/269cc5a5916b420b9547e4eaabb850964050cb75.pdf,,,no,https://github.com/njustkmg/NeurIPS25-AUG,https://github.com/njustkmg/NeurIPS25-AUG,,,,,,https://github.com/njustkmg/NeurIPS25-AUG; https://openreview.net/forum?id=Q6IyUpBmrG,jiang|rethinking_multimodal_learning_from_the_perspective_of_mitigating_classification_ability_disproportion,"@inproceedings{
jiang2026rethinking,
title={Rethinking Multimodal Learning from the Perspective of Mitigating Classification Ability Disproportion},
author={Qing-Yuan Jiang and Longfei Huang and Yang Yang},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=Q6IyUpBmrG}
}",CC BY 4.0,1745305379409,1758216578534,1776754477386,2026-06-15T20:41:24.310698+00:00
rMdf8jhLR7,rMdf8jhLR7,4418,NeurIPS 2025 oral,NeurIPS 2025 oral,"Generalized Gradient Norm Clipping & Non-Euclidean $(L_0,L_1)$-Smoothness",Thomas Pethick; Wanyun Xie; Mete Erdogan; Kimon Antonakopoulos; Tony Silveti-Falls; Volkan Cevher,~Thomas_Pethick1; ~Wanyun_Xie1; ~Mete_Erdogan1; ~Kimon_Antonakopoulos1; ~Tony_Silveti-Falls1; ~Volkan_Cevher1,optimization,Non-Euclidean; Frank-Wolfe; deep learning; clipping,,"This work introduces a hybrid non-Euclidean optimization method which generalizes gradient norm clipping by combining steepest descent and conditional gradient approaches. The method achieves the best of both worlds by establishing a descent property under a generalized notion of ($L_0$,$L_1$)-smoothness. Weight decay is incorporated in a principled manner by identifying a connection to the Frank-Wolfe short step. In the stochastic case, we show an order optimal $O(n^{-1/4})$ convergence rate by leveraging a momentum based gradient estimator. We discuss how to instantiate the algorithms for deep learning, which we dub Clipped Scion, and demonstrate their properties on image classification and language modeling. The code is available at https://github.com/LIONS-EPFL/ClippedScion.",https://openreview.net/forum?id=rMdf8jhLR7,https://openreview.net/pdf?id=rMdf8jhLR7,https://openreview.net/pdf/b973536dde93611fa1c72f92fe0616234592b001.pdf,,,no,https://github.com/LIONS-EPFL/ClippedScion,https://github.com/LIONS-EPFL/ClippedScion,,,,,,https://github.com/LIONS-EPFL/ClippedScion; https://openreview.net/forum?id=rMdf8jhLR7,pethick|generalized_gradient_norm_clipping_noneuclidean_l_0l_1smoothness,"@inproceedings{
pethick2026generalized,
title={Generalized Gradient Norm Clipping \& Non-Euclidean \$(L\_0,L\_1)\$-Smoothness},
author={Thomas Pethick and Wanyun Xie and Mete Erdogan and Kimon Antonakopoulos and Tony Silveti-Falls and Volkan Cevher},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=rMdf8jhLR7}
}",CC BY 4.0,1745806081228,1758216604431,1776754484836,2026-06-15T20:41:24.310698+00:00
CaSQgef484,CaSQgef484,5217,NeurIPS 2025 oral,NeurIPS 2025 oral,Exploring Diffusion Transformer Designs via Grafting,Keshigeyan Chandrasegaran; Michael Poli; Daniel Y Fu; Dongjun Kim; Lea M. Hadzic; Manling Li; Agrim Gupta; Stefano Massaroli; Azalia Mirhoseini; Juan Carlos Niebles; Stefano Ermon; Li Fei-Fei,~Keshigeyan_Chandrasegaran1; ~Michael_Poli1; ~Daniel_Y_Fu1; ~Dongjun_Kim1; ~Lea_M._Hadzic1; ~Manling_Li1; ~Agrim_Gupta1; ~Stefano_Massaroli1; ~Azalia_Mirhoseini3; ~Juan_Carlos_Niebles1; ~Stefano_Ermon1; ~Li_Fei-Fei1,deep_learning,Diffusion Transformers; Model Grafting; Architectural Editing; Hybrid Models,"We propose grafting, a simple approach to materialize new architectures by editing pretrained diffusion transformers. It enables architectural exploration under small compute budgets.","Designing model architectures requires decisions such as selecting operators (e.g., attention, convolution) and configurations (e.g., depth, width). However, evaluating the impact of these decisions on model quality requires costly pretraining, limiting architectural investigation.
Inspired by how new software is built on existing code, we ask: can new architecture designs be studied using pretrained models? To this end, we present *grafting*, a simple approach for editing pretrained diffusion transformers (DiTs) to materialize new architectures under small compute budgets. Informed by our analysis of activation behavior and attention locality, we construct a testbed based on the DiT-XL/2 design to study the impact of grafting on model quality. Using this testbed, we develop a family of hybrid designs via grafting: replacing softmax attention with gated convolution, local attention, and linear attention, and replacing MLPs with variable expansion ratio and convolutional variants. Notably, many hybrid designs achieve good quality (FID: 2.38–2.64 vs. 2.27 for DiT-XL/2)
using $<2$% pretraining compute. We then graft a text-to-image model (PixArt-$\Sigma$), achieving a 1.43$\times$ speedup with less than a 2% drop in GenEval score. Finally, we present a case study that restructures DiT-XL/2 by converting every pair of sequential transformer blocks into parallel blocks via grafting. This reduces model depth by 2$\times$ and yields better quality (FID: 2.77) than other models of comparable depth. Together, we show that new diffusion model designs can be explored by grafting pretrained DiTs, with edits ranging from operator replacement to architecture restructuring. Code and grafted models: https://grafting.stanford.edu.",https://openreview.net/forum?id=CaSQgef484,https://openreview.net/pdf?id=CaSQgef484,https://openreview.net/pdf/05e38c72c64dacc550ceeaeb4fd0a6ddbec1f9d8.pdf,https://openreview.net/attachment/1fadc377ab97b7e0ffa32197672b642cdb5cc8e1.zip,zip,yes,,,,,,,,https://grafting.stanford.edu; https://openreview.net/forum?id=CaSQgef484,chandrasegaran|exploring_diffusion_transformer_designs_via_grafting,"@inproceedings{
chandrasegaran2026exploring,
title={Exploring Diffusion Transformer Designs via Grafting},
author={Keshigeyan Chandrasegaran and Michael Poli and Daniel Y Fu and Dongjun Kim and Lea M. Hadzic and Manling Li and Agrim Gupta and Stefano Massaroli and Azalia Mirhoseini and Juan Carlos Niebles and Stefano Ermon and Li Fei-Fei},
booktitle={The Thirty-ninth Annual Conference on Neural Information Processing Systems},
year={2026},
url={https://openreview.net/forum?id=CaSQgef484}
}",CC BY 4.0,1746041365990,1758216632244,1776754494914,2026-06-15T20:41:24.310698+00:00
